asset_id,risk_score,predicted_label,true_label
asset_0279,0.2155,0,0
asset_0280,0.6159,1,1
asset_0281,0.8096,1,1
asset_0282,0.8456,1,1
asset_0283,0.8452,1,1
asset_0284,0.5506,1,1
asset_0285,0.0932,0,0
asset_0286,0.4954,0,0
asset_0287,0.4221,0,0
asset_0288,0.642,1,1
asset_0289,0.7245,1,1
asset_0290,0.8459,1,1
asset_0291,0.6904,1,1
asset_0292,0.8128,1,1
asset_0293,0.8493,1,1
asset_0294,0.0592,0,0
asset_0295,0.8034,1,1
asset_0296,0.5314,1,1
asset_0297,0.8181,1,1
asset_0298,0.7162,1,1
asset_0299,0.6453,1,1
asset_0300,0.6237,1,1
asset_0301,0.216,0,0
asset_0302,0.3856,0,1
asset_0303,0.8472,1,1
asset_0304,0.7128,1,1
asset_0305,0.6981,1,1
asset_0306,0.8096,1,1
asset_0307,0.7389,1,1
asset_0308,0.8513,1,1
asset_0309,0.6629,1,1
asset_0310,0.8332,1,1
asset_0311,0.6598,1,1
asset_0312,0.1982,0,0
asset_0313,0.7723,1,1
asset_0314,0.148,0,0
asset_0315,0.7999,1,1
asset_0316,0.5878,1,1
asset_0317,0.6928,1,1
asset_0318,0.822,1,1
asset_0319,0.3391,0,1
asset_0320,0.9585,1,1
asset_0321,0.6837,1,1
asset_0322,0.1992,0,0
asset_0323,0.7257,1,1
asset_0324,0.8623,1,1
asset_0325,0.6335,1,1
asset_0326,0.7297,1,1
asset_0327,0.2028,0,0
asset_0328,0.798,1,1
asset_0329,0.2798,0,0
asset_0330,0.2839,0,0
asset_0331,0.6575,1,1
asset_0332,0.9595,1,1
asset_0333,0.4065,0,0
asset_0334,0.8947,1,1
asset_0335,0.7942,1,1
asset_0336,0.8218,1,1
asset_0337,0.7574,1,1
asset_0338,0.8206,1,1
asset_0339,0.298,0,0
asset_0340,0.8093,1,1
asset_0341,0.1555,0,0
asset_0342,0.5129,1,1
asset_0343,0.7372,1,1
asset_0344,0.7288,1,1
asset_0345,0.7895,1,1
asset_0346,0.6935,1,1
asset_0347,0.863,1,1
asset_0348,0.4019,0,0
asset_0349,0.8641,1,1
asset_0350,0.0755,0,0
asset_0351,0.672,1,1
asset_0352,0.7133,1,1
asset_0353,0.2258,0,0
asset_0354,0.8188,1,1
asset_0355,0.8337,1,1
asset_0356,0.1712,0,0
asset_0357,0.7664,1,1
asset_0358,0.3084,0,0
asset_0359,0.6332,1,1
asset_0360,0.6418,1,1
asset_0361,0.4496,0,0
asset_0362,0.6541,1,1
asset_0363,0.7773,1,1
asset_0364,0.6532,1,1
asset_0365,0.3932,0,0
asset_0366,0.8475,1,1
asset_0367,0.5593,1,1
asset_0368,0.8535,1,1
asset_0369,0.6621,1,1
asset_0370,0.6909,1,1
asset_0371,0.5686,1,0
asset_0372,0.6759,1,1
asset_0373,0.4049,0,1
asset_0374,0.3624,0,0
asset_0375,0.6617,1,0
asset_0376,0.3623,0,1
asset_0377,0.1959,0,0
asset_0378,0.3589,0,0
asset_0379,0.7693,1,1
asset_0380,0.924,1,1
asset_0381,0.6367,1,1
asset_0382,0.3866,0,1
asset_0383,0.9194,1,1
asset_0384,0.2462,0,0
asset_0385,0.4087,0,1
asset_0386,0.5666,1,0
asset_0387,0.7147,1,1
asset_0388,0.7074,1,1
asset_0389,0.7942,1,1
asset_0390,0.0644,0,0
asset_0391,0.595,1,1
asset_0392,0.3486,0,1
asset_0393,0.488,0,1
asset_0394,0.8871,1,1
asset_0395,0.8013,1,1
asset_0396,0.6453,1,1
asset_0397,0.7105,1,1
asset_0398,0.3973,0,1
asset_0399,0.7687,1,1
asset_0400,0.5957,1,0
asset_0401,0.9327,1,1
asset_0402,0.1664,0,0
asset_0403,0.7148,1,1
asset_0404,0.2274,0,0
asset_0405,0.549,1,1
asset_0406,0.5257,1,1
asset_0407,0.368,0,0
asset_0408,0.6035,1,1
asset_0409,0.6844,1,1
asset_0410,0.8367,1,1
asset_0411,0.6776,1,1
asset_0412,0.3104,0,1
asset_0413,0.8522,1,1
asset_0414,0.5325,1,1
asset_0415,0.1991,0,0
asset_0416,0.8228,1,1
asset_0417,0.8692,1,1
asset_0418,0.2211,0,0
asset_0419,0.2294,0,0
asset_0420,0.487,0,0
asset_0421,0.8053,1,1
asset_0422,0.2921,0,0
asset_0423,0.6783,1,1
asset_0424,0.868,1,1
asset_0425,0.372,0,0
asset_0426,0.445,0,1
asset_0427,0.8535,1,1
asset_0428,0.7682,1,1
asset_0429,0.8129,1,1
asset_0430,0.4533,0,1
asset_0431,0.6528,1,1
asset_0432,0.7809,1,1
asset_0433,0.6689,1,1
asset_0434,0.8225,1,1
asset_0435,0.4195,0,0
asset_0436,0.1587,0,0
asset_0437,0.1049,0,0
asset_0438,0.553,1,1
asset_0439,0.6347,1,1
asset_0440,0.6865,1,1
asset_0441,0.6502,1,1
asset_0442,0.528,1,1
asset_0443,0.207,0,0
asset_0444,0.7249,1,1
asset_0445,0.8127,1,1
asset_0446,0.5522,1,1
asset_0447,0.8259,1,1
asset_0448,0.6135,1,1
asset_0449,0.4137,0,0
asset_0450,0.7485,1,1
asset_0451,0.6469,1,1
asset_0452,0.187,0,0
asset_0453,0.1685,0,0
asset_0454,0.5798,1,1
asset_0455,0.6043,1,1
asset_0456,0.6426,1,1
asset_0457,0.5994,1,1
asset_0458,0.2627,0,0
asset_0459,0.2823,0,1
asset_0460,0.6053,1,1
asset_0461,0.7846,1,1
asset_0462,0.7807,1,1
asset_0463,0.5693,1,0
asset_0464,0.4369,0,0
asset_0465,0.7301,1,1
asset_0466,0.3472,0,0
asset_0467,0.4034,0,1
asset_0468,0.7087,1,1
asset_0469,0.4978,0,1
asset_0470,0.6644,1,1
asset_0471,0.8672,1,1
asset_0472,0.85,1,1
asset_0473,0.954,1,1
asset_0474,0.7174,1,1
asset_0475,0.7952,1,1
asset_0476,0.8488,1,1
asset_0477,0.8315,1,1
asset_0478,0.6188,1,1
asset_0479,0.3865,0,0
asset_0480,0.3523,0,0
asset_0481,0.8417,1,1
asset_0482,0.2606,0,0
asset_0483,0.387,0,0
asset_0484,0.1971,0,0
asset_0485,0.5634,1,1
asset_0486,0.7279,1,1
asset_0487,0.7218,1,1
asset_0488,0.7383,1,1
asset_0489,0.1259,0,0
asset_0490,0.1629,0,0
asset_0491,0.2913,0,1
asset_0492,0.7972,1,1
asset_0493,0.8455,1,1
asset_0494,0.7404,1,1
asset_0495,0.3388,0,0
asset_0496,0.3783,0,0
asset_0497,0.4417,0,0
asset_0498,0.7352,1,1
asset_0499,0.6101,1,1
asset_0500,0.7321,1,1
asset_0501,0.5179,1,1
asset_0502,0.5494,1,1
asset_0503,0.1921,0,0
asset_0504,0.126,0,0
asset_0505,0.6096,1,1
asset_0506,0.4558,0,1
asset_0507,0.5229,1,1
asset_0508,0.6099,1,1
asset_0509,0.7209,1,0
asset_0510,0.6784,1,1
asset_0511,0.1176,0,0
asset_0512,0.8095,1,1
asset_0513,0.2835,0,0
asset_0514,0.6646,1,1
asset_0515,0.7449,1,1
asset_0516,0.295,0,0
asset_0517,0.8844,1,1
asset_0518,0.7783,1,1
asset_0519,0.8704,1,1
asset_0520,0.4815,0,1
asset_0521,0.3272,0,0
asset_0522,0.4687,0,1
asset_0523,0.7701,1,1
asset_0524,0.3936,0,0
asset_0525,0.322,0,0
asset_0526,0.3061,0,0
asset_0527,0.8,1,1
asset_0528,0.8814,1,1
asset_0529,0.4,0,1
asset_0530,0.4842,0,0
asset_0531,0.5254,1,1
asset_0532,0.7424,1,1
asset_0533,0.3884,0,0
asset_0534,0.8808,1,1
asset_0535,0.5173,1,1
asset_0536,0.8541,1,1
asset_0537,0.6267,1,1
asset_0538,0.7581,1,1
asset_0539,0.8121,1,1
asset_0540,0.8551,1,1
asset_0541,0.8532,1,1
asset_0542,0.6,1,1
asset_0543,0.5343,1,1
asset_0544,0.4898,0,1
asset_0545,0.5849,1,1
asset_0546,0.5874,1,1
asset_0547,0.6805,1,1
asset_0548,0.906,1,1
asset_0549,0.6227,1,1
asset_0550,0.6545,1,1
asset_0551,0.6987,1,1
asset_0552,0.5814,1,1
asset_0553,0.7533,1,1
asset_0554,0.7944,1,1
asset_0555,0.3812,0,0
asset_0556,0.3573,0,0
asset_0557,0.8492,1,1
asset_0558,0.6405,1,1
asset_0559,0.3552,0,1
asset_0560,0.5363,1,1
asset_0561,0.7273,1,1
asset_0562,0.0933,0,0
asset_0563,0.8454,1,1
asset_0564,0.7249,1,1
asset_0565,0.4226,0,1
asset_0566,0.5348,1,1
asset_0567,0.6763,1,1
asset_0568,0.2276,0,0
asset_0569,0.316,0,0
asset_0570,0.1368,0,0
asset_0571,0.7607,1,1
asset_0572,0.6854,1,1
asset_0573,0.4103,0,0
asset_0574,0.6116,1,1
asset_0575,0.6274,1,1
asset_0576,0.9399,1,1
asset_0577,0.316,0,1
asset_0578,0.7994,1,1
asset_0579,0.7427,1,1
asset_0580,0.6509,1,1
asset_0581,0.4799,0,0
asset_0582,0.4815,0,1
asset_0583,0.5438,1,1
asset_0584,0.4758,0,1
asset_0585,0.6278,1,1
asset_0586,0.3539,0,0
asset_0587,0.629,1,1
asset_0588,0.8519,1,1
asset_0589,0.7388,1,1
asset_0590,0.643,1,1
asset_0591,0.1168,0,0
asset_0592,0.5496,1,1
asset_0593,0.4388,0,0
asset_0594,0.6885,1,1
asset_0595,0.244,0,0
asset_0596,0.7042,1,1
asset_0597,0.662,1,1
asset_0598,0.3438,0,0
asset_0599,0.7306,1,1
asset_0600,0.6125,1,1
asset_0601,0.6949,1,1
asset_0602,0.8859,1,1
asset_0603,0.8808,1,1
asset_0604,0.1512,0,0
asset_0605,0.2368,0,0
asset_0606,0.9188,1,1
asset_0607,0.3203,0,0
asset_0608,0.6906,1,1
asset_0609,0.4155,0,1
asset_0610,0.3153,0,0
asset_0611,0.3748,0,0
asset_0612,0.1271,0,0
asset_0613,0.6384,1,1
asset_0614,0.6479,1,1
asset_0615,0.6251,1,1
asset_0616,0.8275,1,1
asset_0617,0.6739,1,1
asset_0618,0.6393,1,1
asset_0619,0.6033,1,1
asset_0620,0.4621,0,1
asset_0621,0.8829,1,1
asset_0622,0.7238,1,1
asset_0623,0.6764,1,1
asset_0624,0.6774,1,1
asset_0625,0.7527,1,1
asset_0626,0.9019,1,1
asset_0627,0.3158,0,0
asset_0628,0.8225,1,1
asset_0629,0.6149,1,1
asset_0630,0.4245,0,0
asset_0631,0.8512,1,1
asset_0632,0.7292,1,1
asset_0633,0.8717,1,1
asset_0634,0.8781,1,1
asset_0635,0.8584,1,1
asset_0636,0.2223,0,0
asset_0637,0.6145,1,1
asset_0638,0.2485,0,0
asset_0639,0.8236,1,1
asset_0640,0.3327,0,0
asset_0641,0.812,1,1
asset_0642,0.6482,1,1
asset_0643,0.2547,0,0
asset_0644,0.6355,1,1
asset_0645,0.2697,0,0
asset_0646,0.7407,1,1
asset_0647,0.2896,0,0
asset_0648,0.8938,1,1
asset_0649,0.296,0,0
asset_0650,0.7574,1,1
asset_0651,0.3667,0,1
asset_0652,0.1211,0,0
asset_0653,0.8387,1,1
asset_0654,0.8735,1,1
asset_0655,0.265,0,0
asset_0656,0.7863,1,1
asset_0657,0.6527,1,1
asset_0658,0.6901,1,1
asset_0659,0.6316,1,1
asset_0660,0.1647,0,0
asset_0661,0.7381,1,1
asset_0662,0.856,1,1
asset_0663,0.8836,1,1
asset_0664,0.5446,1,1
asset_0665,0.4181,0,0
asset_0666,0.8118,1,1
asset_0667,0.7862,1,1
asset_0668,0.6872,1,1
asset_0669,0.2605,0,0
asset_0670,0.1825,0,0
asset_0671,0.2577,0,0
asset_0672,0.6238,1,1
asset_0673,0.7106,1,1
asset_0674,0.751,1,1
asset_0675,0.7691,1,1
asset_0676,0.73,1,1
asset_0677,0.3216,0,0
asset_0678,0.6594,1,0
asset_0679,0.3743,0,0
asset_0680,0.9124,1,1
asset_0681,0.503,1,0
asset_0682,0.8382,1,1
asset_0683,0.7565,1,1
asset_0684,0.8913,1,1
asset_0685,0.0604,0,0
asset_0686,0.4766,0,1
asset_0687,0.7528,1,1
asset_0688,0.9138,1,1
asset_0689,0.4039,0,0
asset_0690,0.6666,1,1
asset_0691,0.6611,1,1
asset_0692,0.7394,1,1
asset_0693,0.8099,1,1
asset_0694,0.7182,1,1
asset_0695,0.1156,0,0
asset_0696,0.9044,1,1
asset_0697,0.6032,1,1
asset_0698,0.4327,0,0
asset_0699,0.726,1,1
asset_0700,0.7683,1,1
asset_0701,0.6849,1,0
asset_0702,0.3243,0,0
asset_0703,0.5874,1,1
asset_0704,0.8114,1,1
asset_0705,0.6623,1,1
asset_0706,0.7365,1,1
asset_0707,0.5122,1,1
asset_0708,0.725,1,1
asset_0709,0.5471,1,1
asset_0710,0.7203,1,1
asset_0711,0.4392,0,1
asset_0712,0.8428,1,1
asset_0713,0.639,1,1
asset_0714,0.61,1,1
asset_0715,0.211,0,0
asset_0716,0.6758,1,1
asset_0717,0.5351,1,1
asset_0718,0.8259,1,1
asset_0719,0.4237,0,1
asset_0720,0.545,1,1
asset_0721,0.8401,1,1
asset_0722,0.8718,1,1
asset_0723,0.5897,1,1
asset_0724,0.5361,1,1
asset_0725,0.7129,1,1
asset_0726,0.6544,1,1
asset_0727,0.9456,1,1
asset_0728,0.817,1,1
asset_0729,0.8725,1,1
asset_0730,0.4375,0,1
asset_0731,0.3239,0,0
asset_0732,0.8125,1,1
asset_0733,0.7257,1,1
asset_0734,0.4311,0,1
asset_0735,0.5217,1,1
asset_0736,0.4042,0,0
asset_0737,0.2684,0,0
asset_0738,0.1841,0,0
asset_0739,0.6704,1,1
asset_0740,0.729,1,1
asset_0741,0.3372,0,0
asset_0742,0.4017,0,0
asset_0743,0.6884,1,1
asset_0744,0.5167,1,1
asset_0745,0.6733,1,1
asset_0746,0.727,1,1
asset_0747,0.9075,1,1
asset_0748,0.7219,1,1
asset_0749,0.7157,1,1
asset_0750,0.7335,1,1
asset_0751,0.6398,1,1
asset_0752,0.4407,0,0
asset_0753,0.3996,0,0
asset_0754,0.9042,1,1
asset_0755,0.528,1,0
asset_0756,0.413,0,0
asset_0757,0.2632,0,0
asset_0758,0.4747,0,0
asset_0759,0.6022,1,1
asset_0760,0.5093,1,0
asset_0761,0.4633,0,1
asset_0762,0.8441,1,1
asset_0763,0.6106,1,1
asset_0764,0.4949,0,0
asset_0765,0.7473,1,1
asset_0766,0.6129,1,1
asset_0767,0.9283,1,1
asset_0768,0.6985,1,1
asset_0769,0.3046,0,0
asset_0770,0.6802,1,1
asset_0771,0.5138,1,0
asset_0772,0.6015,1,1
asset_0773,0.8204,1,1
asset_0774,0.6266,1,1
asset_0775,0.7567,1,1
asset_0776,0.542,1,1
asset_0777,0.627,1,1
asset_0778,0.9152,1,1
asset_0779,0.7689,1,1
asset_0780,0.0735,0,0
asset_0781,0.7273,1,1
asset_0782,0.5865,1,1
asset_0783,0.392,0,1
asset_0784,0.7337,1,1
asset_0785,0.7357,1,1
asset_0786,0.2915,0,0
asset_0787,0.6467,1,1
asset_0788,0.8055,1,1
asset_0789,0.6435,1,1
asset_0790,0.7594,1,1
asset_0791,0.6707,1,1
asset_0792,0.0947,0,0
asset_0793,0.5294,1,1
asset_0794,0.4088,0,0
asset_0795,0.6444,1,1
asset_0796,0.7745,1,1
asset_0797,0.4982,0,1
asset_0798,0.8272,1,1
asset_0799,0.8718,1,1
asset_0800,0.7819,1,1
asset_0801,0.3373,0,1
asset_0802,0.7285,1,1
asset_0803,0.448,0,0
asset_0804,0.8295,1,1
asset_0805,0.9183,1,1
asset_0806,0.5442,1,1
asset_0807,0.8961,1,1
asset_0808,0.6792,1,1
asset_0809,0.426,0,0
asset_0810,0.3409,0,1
asset_0811,0.6912,1,1
asset_0812,0.2371,0,0
asset_0813,0.5599,1,1
asset_0814,0.9018,1,1
asset_0815,0.8325,1,1
asset_0816,0.8946,1,1
asset_0817,0.6181,1,1
asset_0818,0.0895,0,0
asset_0819,0.7879,1,1
asset_0820,0.404,0,0
asset_0821,0.6067,1,1
asset_0822,0.4321,0,1
asset_0823,0.5751,1,1
asset_0824,0.6451,1,1
asset_0825,0.9168,1,1
asset_0826,0.5925,1,1
asset_0827,0.7438,1,1
asset_0828,0.6777,1,1
asset_0829,0.8629,1,1
asset_0830,0.9008,1,1
asset_0831,0.8105,1,1
asset_0832,0.5614,1,1
asset_0833,0.6934,1,1
asset_0834,0.7725,1,1
asset_0835,0.6104,1,1
asset_0836,0.5845,1,0
asset_0837,0.2079,0,0
asset_0838,0.9294,1,1
asset_0839,0.5157,1,1
asset_0840,0.6132,1,1
asset_0841,0.2202,0,0
asset_0842,0.6648,1,1
asset_0843,0.6919,1,1
asset_0844,0.2233,0,0
asset_0845,0.7696,1,1
asset_0846,0.5786,1,1
asset_0847,0.7343,1,1
asset_0848,0.492,0,1
asset_0849,0.8439,1,1
asset_0850,0.8246,1,1
asset_0851,0.1658,0,0
asset_0852,0.7447,1,1
asset_0853,0.622,1,1
asset_0854,0.5931,1,0
asset_0855,0.7353,1,1
asset_0856,0.3541,0,0
asset_0857,0.4486,0,0
asset_0858,0.246,0,0
asset_0859,0.3975,0,0
asset_0860,0.2956,0,0
asset_0861,0.4505,0,1
asset_0862,0.7868,1,1
asset_0863,0.8112,1,1
asset_0864,0.8376,1,1
asset_0865,0.8596,1,1
asset_0866,0.7262,1,1
asset_0867,0.7691,1,1
asset_0868,0.8583,1,1
asset_0869,0.6398,1,1
asset_0870,0.4965,0,0
asset_0871,0.4025,0,0
asset_0872,0.9011,1,1
asset_0873,0.4046,0,0
asset_0874,0.2622,0,0
asset_0875,0.6161,1,1
asset_0876,0.9135,1,1
asset_0877,0.7641,1,1
asset_0878,0.2593,0,0
asset_0879,0.932,1,1
asset_0880,0.7189,1,1
asset_0881,0.0576,0,0
asset_0882,0.4671,0,1
asset_0883,0.0705,0,0
asset_0884,0.5059,1,1
asset_0885,0.7948,1,1
asset_0886,0.531,1,0
asset_0887,0.8653,1,1
asset_0888,0.7519,1,1
asset_0889,0.3755,0,0
asset_0890,0.8344,1,1
asset_0891,0.1254,0,0
asset_0892,0.5878,1,1
asset_0893,0.7959,1,1
asset_0894,0.2826,0,0
asset_0895,0.7397,1,1
asset_0896,0.7941,1,1
asset_0897,0.5849,1,1
asset_0898,0.0739,0,0
asset_0899,0.9182,1,1
asset_0900,0.742,1,1
asset_0901,0.6957,1,1
asset_0902,0.8932,1,1
asset_0903,0.2192,0,0
asset_0904,0.8771,1,1
asset_0905,0.8835,1,1
asset_0906,0.6912,1,1
asset_0907,0.4091,0,0
asset_0908,0.4123,0,1
asset_0909,0.7164,1,1
asset_0910,0.7495,1,1
asset_0911,0.4075,0,0
asset_0912,0.5934,1,1
asset_0913,0.6197,1,1
asset_0914,0.6003,1,1
asset_0915,0.6356,1,1
asset_0916,0.5487,1,1
asset_0917,0.0942,0,0
asset_0918,0.4496,0,1
asset_0919,0.634,1,1
asset_0920,0.5897,1,1
asset_0921,0.1216,0,0
asset_0922,0.5113,1,1
asset_0923,0.8067,1,1
asset_0924,0.3124,0,0
asset_0925,0.5864,1,1
asset_0926,0.8927,1,1
asset_0927,0.367,0,0
asset_0928,0.2661,0,0
asset_0929,0.8182,1,1
asset_0930,0.1755,0,0
asset_0931,0.4218,0,1
asset_0932,0.1134,0,0
asset_0933,0.9647,1,1
asset_0934,0.4023,0,0
asset_0935,0.4415,0,1
asset_0936,0.834,1,1
